Var1,rates_export
738920,1.93039339671169
738926,1.92096555495111
738947,2.20536954720236
738981,2.39133480947758
739008,2.53901310599023
739052,2.77165452779484
739150,3.05379567461515
739240,3.18687131491369
739331,3.24167780434204
739423,3.24757580808002
739514,3.22089042237962
739604,3.17943292496973
739651,3.14419825719483
740015,2.97161193165585
740380,2.8654942509111
740745,2.81169055400628
741111,2.77933316019926
741478,2.7659758801894
741842,2.76826488082431
742206,2.78303404634192
742572,2.80515887194928
742937,2.82658721316125
743302,2.84360319912182
743669,2.85417860242505
744033,2.85604816443612
744398,2.84905297330636
744763,2.83170657493601
745128,2.80541919374977
745496,2.77152146413995
745860,2.73365356055326
746224,2.69316135369039
746589,2.65177683645831
746955,2.60979664337921
747320,2.56845650141821
747687,2.52740368090805
748051,2.48752063621951
748416,2.44839742731077
748781,2.41082381475429
749146,2.37460739538096
749511,2.33984045102947
749878,2.30622047208121
750242,2.2747010817078
750607,2.24461877950476
750972,2.2159504056601
751338,2.18832758801115
751705,2.16203475184666
752069,2.13703881874385
752433,2.1130180420125
752799,2.08958217363584
753164,2.06714556376704
753529,2.04536899999258
753896,2.02403338445133
754260,2.00317307730272
754625,1.98274446576436
754990,1.96254953385171
755355,1.94248200739996
755723,1.92214864184663
756087,1.90207622677125
756451,1.88181491449096
756816,1.86120567038001
757182,1.84003095766649
